campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Anschutz,U0006 -- U-ADM ADMINISTRATN AND FINANCE,U0107 -- U-ADM AF Executive VC,ADM AVC VC Info Strategy&Svcs,R25-1000013,IT PRGM DIR,Univ Staff - Information Tech.,100,"$155,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Critical Care-GenOps,R25-1000048,INSTRUCTOR,Regular Faculty,100,"$120,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS HospMed-GenOps,R25-1000049,INSTRUCTOR,Regular Faculty,100,"$143,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Neonatology-GenOps,R25-1000058,SENIOR INSTRUCTOR,Regular Faculty,100,"$435,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-NS GENERAL OPERATIONS,R25-1000064,FINANCE/ACCTG PRINCIPAL PROF,Univ Staff- Finance & Acct.,100,"$80,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-DERM GENERAL OPERATIONS,R25-1000067,BUSINESS SERVICES PROFESSIONAL,Univ Staff - Business Services,100,"$65,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-ARTS SP/G,R25-1000070,TECHNICIAN III,US-Auxilliary Funding (CS),100,"$56,000.00",0
CU Anschutz,H0115 -- H-SDM-SCHOOL OF DENTAL MEDICIN,H0129 -- H-SDM-DENTAL CLINICS,SDM-Dental Clinic Support Srvc,R25-1000077,HCS TRAINEE I,Class Staff - HealthCare & Srv,100,"$39,000.00",0
CU Anschutz,H0115 -- H-SDM-SCHOOL OF DENTAL MEDICIN,H0129 -- H-SDM-DENTAL CLINICS,SDM-Dental Clinic Support Srvc,R25-1000079,ADMIN ASSISTANT II,Class Staff-Admin Support,100,"$41,600.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS HospMed-GenOps,R25-1000089,INSTRUCTOR,Regular Faculty,100,"$111,000.00",0
CU Anschutz,H0401 -- H-CSPH - Colo School Pub Hlth,H0410 -- H-CSPH-Centers & Institutes,CSPH-LEAD GEN OPS,R25-1000090,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$55,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-OB/GYN MFM GENERAL OPS,R25-1000124,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,100,"$68,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Hematology-Onc-GenOps,R25-1000140,INSTRUCTOR,Regular Faculty,100,"$106,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Nutrition-SalSvr,R25-1000145,RESEARCH SERVICES PRINCIPAL PR,Univ Staff - Research Services,100,"$71,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-OB/GYN MFM GENERAL OPS,R25-1000151,RESEARCH SERVICES PRINCIPAL PR,Univ Staff - Research Services,100,"$88,454.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-U of Colo Cancer Center,R25-1000155,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$58,500.00",0
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,ADM-CHAN Anschutz Tech Transfe,R25-1000156,RESEARCH SERVICES SENIOR PROF,Univ Staff - Research Services,100,"$70,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-Health&Wellness FitnessCtr,R25-1000164,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),100,"$46,231.00",0
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,ADM-CHAN Anschutz Tech Transfe,R25-1000176,BUSINESS SERVICES PRGM DIR,Univ Staff - Business Services,100,"$120,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-Pathology,R25-1000181,MEDICAL RECORDS TECH II,US-Auxilliary Funding (CS),100,"$55,250.00",0
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,ADM AVC Comm Anschutz,R25-1000187,COMMUNICATION SENIOR PROF,Univ Staff - Communication,100,"$63,345.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - PRIM CARE,R25-1000194,HEALTH CARE TECH I,US-Auxilliary Funding (CS),100,"$49,089.00",0
CU Anschutz,H0132 -- H-CON-College of Nursing,H0147 -- H-CON-Dean College of Nursing,CON-DEAN ADMINISTRATION,R25-1000195,BUSINESS SERVICES PROGRAM MGR,Univ Staff - Business Services,50,"$44,800.00",0
CU Anschutz,U0028 -- U-ADM-VC for Research,U0039 -- U-ADM-AVC for Reg/Compliance,ADM AVCRC COMIRB,R25-1000221,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$65,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-ARTS SP/G,R25-1000232,HEALTH CARE TECH III,US-Auxilliary Funding (CS),100,"$65,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - ORTHOPEDICS,R25-1000263,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),100,"$55,500.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-BoneMarrow Transplant,R25-1000292,POST-DOCTORAL FELLOW,Other Faculty,100,"$64,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-PHARM GENERAL OPERATIONS,R25-1000324,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - OB-GYN,R25-1000330,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),100,"$58,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-AN Mass Spec GeneralOps,R25-1000345,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$47,100.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - PRIM CARE,R25-1000354,HEALTH CARE TECH I,US-Auxilliary Funding (CS),100,"$46,322.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-SP/G P3,R25-1000380,SR INSTRUCTOR CLINICAL PRACT,Clinical Faculty,100,"$302,940.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - OB-GYN,R25-1000392,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),100,"$48,865.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R PHYSICAL THERAPY,R25-1000393,LECTURER,Other Faculty,2.5,"$2,184.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-SRG-GI Clinical,R25-1000395,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$50,868.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Clinical Immunology,R25-1000397,HEALTH CARE SENIOR PROF,Univ Staff - Healthcare,100,"$81,294.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Endocrinology,R25-1000400,POST-DOCTORAL FELLOW,Other Faculty,100,"$63,120.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-EM MED CLINICAL,R25-1000401,RESEARCH SERVICES PRINCIPAL PR,Univ Staff - Research Services,2.5,"$2,425.00",0
CU Anschutz,U0006 -- U-ADM ADMINISTRATN AND FINANCE,U0107 -- U-ADM AF Executive VC,ADM-AFEVC Administration,R25-1000414,ASSOC VICE CHANCELLOR,Univ Staff - Executive,100,"$230,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-ARTS SP/G,R25-1000424,HEALTH CARE TECH II,US-Auxilliary Funding (CS),100,"$48,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - PSYCHIATRY,R25-1000470,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),100,"$50,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - SURGERY,R25-1000489,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),100,"$53,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Adolescent Med-GenOps,R25-1000527,HEALTH CARE SENIOR PROF,Univ Staff - Healthcare,100,"$82,000.00",0
CU Anschutz,U0028 -- U-ADM-VC for Research,U0039 -- U-ADM-AVC for Reg/Compliance,ADM AVCRC COMIRB,R25-1000534,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$58,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R PHYSICAL THERAPY,R25-1000541,LECTURER,Other Faculty,2.5,"$2,184.00",0
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,ADM-CHAN Advancement Anschutz,R25-1000565,EXTERNAL RELATIONS DIRECTOR,Univ Staff- External Relations,100,"$120,000.00",0
CU Anschutz,H0115 -- H-SDM-SCHOOL OF DENTAL MEDICIN,H0130 -- H-SDM-FACULTY PRACTICE,SDM-Faculty Practice,R25-1000570,DENTAL CARE II,US-Auxilliary Funding (CS),50,"$24,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-EM MED CLINICAL,R25-1000606,RESEARCH SERVICES PRINCIPAL PR,Univ Staff - Research Services,2.5,"$2,250.00",0
CU Anschutz,H0132 -- H-CON-College of Nursing,H0147 -- H-CON-Dean College of Nursing,CON-DEAN ADMINISTRATION,R25-1000608,STUDENT SERVICES MANAGER,Univ Staff - Student Services,100,"$67,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-PHARM GENERAL OPERATIONS,R25-1000609,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$49,560.00",0
CU Anschutz,H0155 -- H-SOP-School of Pharmacy,H0171 -- H-SOP-Dept Pharmacy Sci,SOP-DOPS General Operations,R25-1000638,BUSINESS SERVICES ENTRY PROF,Univ Staff - Business Services,100,"$55,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS PULM&SLEEPMED-GENOPS,R25-1000640,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$48,140.00",0
CU Anschutz,U0006 -- U-ADM ADMINISTRATN AND FINANCE,U0107 -- U-ADM AF Executive VC,ADM AVCFM Infra Safety & Compl,R25-1000648,ELECTRONICS SPECIALIST IV,Class Staff-Physical Sc & Engg,100,"$92,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS PULM&SLEEPMED-GENOPS,R25-1000653,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$46,274.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-RAD Pediatrics Gen Ops HR,R25-1000672,INSTRUCTOR,Regular Faculty,100,"$120,411.00",0
CU Anschutz,U0028 -- U-ADM-VC for Research,U0029 -- U-ADM-VCR OLAR,CSA-VCR OLAR CLAC Operations,R25-1000713,ANIMAL CARE I,US-Auxilliary Funding (CS),100,"$43,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-UCH-GEN OP,R25-1000777,HEALTH CARE SENIOR PROF,Univ Staff - Healthcare,100,"$70,000.00",0
CU Anschutz,H0132 -- H-CON-College of Nursing,H0147 -- H-CON-Dean College of Nursing,CON-DEAN ADMINISTRATION,R25-1000778,FACULTY FELLOW,Administrative Faculty,2.5,"$1,816.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - PRIM CARE,R25-1000794,HEALTH CARE TECH I,US-Auxilliary Funding (CS),100,"$45,120.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-SRG-VS Clinical,R25-1000798,VISITING RESEARCHER,Research Faculty,100,"$45,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN EO UME,R25-1000807,BUSINESS SERVICES PRGM DIR,Univ Staff - Business Services,100,"$135,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-OB/GYN RS GENERAL OPS,R25-1000814,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$55,500.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-Pathology,R25-1000822,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$46,400.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R PHYSICAL THERAPY,R25-1000824,LECTURER,Other Faculty,2.5,"$2,184.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-BioChem&Molecular Genetics,R25-1000840,RESEARCH SERVICES PRINCIPAL PR,Univ Staff - Research Services,100,"$69,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R PHYSICAL THERAPY,R25-1000843,LECTURER,Other Faculty,2.5,"$2,184.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - SURGERY,R25-1000847,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),100,"$47,500.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R PHYSICAL THERAPY,R25-1000850,LECTURER,Other Faculty,2.5,"$2,184.00",0
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,ADM CHAN GBF Spnsrd/Gift,R25-1000884,RESEARCH SERVICES SENIOR PROF,Univ Staff - Research Services,100,"$76,500.00",0
CU Anschutz,H0132 -- H-CON-College of Nursing,H0147 -- H-CON-Dean College of Nursing,CON-DEAN ADMINISTRATION,R25-1000898,FACULTY FELLOW,Administrative Faculty,2.5,"$1,816.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - OB-GYN,R25-1000917,HEALTH CARE TECH I,US-Auxilliary Funding (CS),80,"$39,587.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS HospMed-GenOps,R25-1000918,INSTRUCTOR,Regular Faculty,100,"$111,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R PHYSICAL THERAPY,R25-1000928,LECTURER,Other Faculty,2.5,"$2,184.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-BIOMED Informatics Gen Ops,R25-1000961,POST-DOCTORAL FELLOW,Other Faculty,100,"$73,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-RAD GENERAL OPERATIONS,R25-1000966,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,U0028 -- U-ADM-VC for Research,U0078 -- U-ADM-VCR CO Clncl & Trns Sci,ADM VCR CCTSI Admin,R25-1000992,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$53,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-GIM,R25-1001009,INSTRUCTOR,Regular Faculty,100,"$200,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-ARTS SP/G,R25-1001021,TECHNICIAN III,US-Auxilliary Funding (CS),100,"$57,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R GENERAL OPERATIONS,R25-1001023,SENIOR INSTRUCTOR,Regular Faculty,100,"$90,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Gastroenterology,R25-1001028,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$63,180.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-OB/GYN RS GENERAL OPS,R25-1001037,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PM&R GENERAL OPERATIONS,R25-1001050,INSTRUCTOR,Regular Faculty,100,"$130,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-RAD GENERAL OPERATIONS,R25-1001054,ASSISTANT RESEARCH PROFESSOR,Research Faculty,100,"$85,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS HospMed-GenOps,R25-1001071,INSTRUCTOR,Regular Faculty,100,"$111,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Cardiology,R25-1001077,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-Depression GenOps,R25-1001113,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,100,"$64,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-OTHR CLIN SVS-GEN OP,R25-1001115,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,100,"$65,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS HospMed-GenOps,R25-1001123,INSTRUCTOR,Regular Faculty,100,"$111,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Critical Care-GenOps,R25-1001135,INSTRUCTOR/FELLOW,Administrative Faculty,100,"$78,126.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-PHYS GENERAL OPERATIONS,R25-1001170,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$51,408.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Devl Biology-GenOp,R25-1001176,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$47,500.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-FM GENERAL OPERATIONS,R25-1001182,ASSISTANT PROFESSOR,Regular Faculty,100,"$200,000.00",0
CU Anschutz,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,ADM CHAN GBF Spnsrd/Gift,R25-1001183,RESEARCH SERVICES PRINCIPAL PR,Univ Staff - Research Services,100,"$82,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Hematology-Onc-GenOps,R25-1001184,RESEARCH SERVICES SENIOR PROF,Univ Staff - Research Services,100,"$56,000.00",0
CU Anschutz,U0028 -- U-ADM-VC for Research,U0029 -- U-ADM-VCR OLAR,CSA-VCR OLAR CLAC Operations,R25-1001194,ANIMAL CARE I,US-Auxilliary Funding (CS),100,"$45,300.00",0
CU Anschutz,H0155 -- H-SOP-School of Pharmacy,H0171 -- H-SOP-Dept Pharmacy Sci,SOP-DOPS General Operations,R25-1001195,VISITING RESEARCHER,Research Faculty,100,"$18,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - OB-GYN,R25-1001200,HEALTH CARE TECH I,US-Auxilliary Funding (CS),100,"$47,250.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-GIM,R25-1001201,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,H0401 -- H-CSPH - Colo School Pub Hlth,H0411 -- H-CSPH-Departments,CSPH-Bio Info General Ops,R25-1001210,ASST PROFESSOR CLINICAL (C/T),Clinical Faculty,100,"$120,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-RAD GENERAL OPERATIONS,R25-1001215,INSTRUCTOR,Regular Faculty,100,"$113,984.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-GIM,R25-1001236,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0034 -- H-SOM-Basic Science Depts,SOM-PHARM GENERAL OPERATIONS,R25-1001240,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS HospMed-GenOps,R25-1001248,INSTRUCTOR,Regular Faculty,75,"$87,750.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS GENERAL OPERATIONS,R25-1001252,BUSINESS SERVICES SENIOR PROF,Univ Staff - Business Services,100,"$65,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - PRIM CARE,R25-1001265,HEALTH CARE TECH I,US-Auxilliary Funding (CS),100,"$48,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-Clinical Immunology,R25-1001288,HEALTH CARE PROFESSIONAL,Univ Staff - Healthcare,100,"$63,000.00",0
CU Anschutz,U0028 -- U-ADM-VC for Research,U0029 -- U-ADM-VCR OLAR,CSA-VCR OLAR CLAC Operations,R25-1001325,VETERINARY TECHNOLOGY I,US-Auxilliary Funding (CS),100,"$49,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-FM GENERAL OPERATIONS,R25-1001334,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-MED-REN GENERAL OPERATIONS,R25-1001356,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$57,500.00",0
CU Anschutz,H0115 -- H-SDM-SCHOOL OF DENTAL MEDICIN,H0129 -- H-SDM-DENTAL CLINICS,SDM-Dental Clinic Support Srvc,R25-1001359,HCS TRAINEE I,US-Auxilliary Funding (CS),100,"$39,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-U of Colo Cancer Center,R25-1001368,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$52,136.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-U of Colo Cancer Center,R25-1001370,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$54,963.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-ORTHO GENERAL OPERATIONS,R25-1001399,INSTRUCTOR/FELLOW,Administrative Faculty,100,"$96,588.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - SURGERY,R25-1001497,HEALTH CARE TECH I,US-Auxilliary Funding (CS),100,"$49,565.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-UCH-GEN OP,R25-1001507,INSTRUCTOR,Regular Faculty,100,"$109,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0020 -- H-SOM-Dean School of Medicine,SOM-DEAN DO CPD - ORTHOPEDICS,R25-1001524,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),100,"$45,500.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH-SUB-DEP SPG/GIFT,R25-1001539,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$50,868.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PSYCH NR TransPsych GenOps,R25-1001540,RESEARCH SERVICES ENTRY PROF,Univ Staff - Research Services,100,"$47,500.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0027 -- H-SOM-Centers & Institutes,SOM-Linda Crnic Inst Gen Ops,R25-1001554,RESEARCH SERVICES SENIOR PROF,Univ Staff - Research Services,100,"$70,618.00",0
CU Anschutz,H0132 -- H-CON-College of Nursing,H0147 -- H-CON-Dean College of Nursing,CON-DEAN ADMINISTRATION,R25-1001555,FINANCE/ACCTG ASST DIR,Univ Staff- Finance & Acct.,100,"$118,000.00",0
CU Anschutz,H0002 -- H-SOM-School of Medicine,H0047 -- H-SOM-Clinical Science Dept,SOM-PEDS Critical Care-GenOps,R25-1001556,INSTRUCTOR/FELLOW,Administrative Faculty,100,"$78,126.00",0
